CASEID,YEAR,STATEFIP,EMPSTAT,PED,SED_EAT,ANYSECDRK,ANYSECEAT,ACTIVITY,DURATION,SED_EAT_LN,START
20060101061854,2006,39,1,60,0,2,2,50101,205,0,13:35:00
20060101061868,2006,39,1,70,0,1,2,50101,235,0,7:05:00
20060101061868,2006,39,1,70,0,1,2,50101,180,0,12:00:00
20060101061868,2006,39,1,70,0,1,2,50101,120,0,15:15:00
20060101061920,2006,41,1,15,1,1,1,50101,274,0,7:56:00
20060101061920,2006,41,1,15,1,1,1,50101,207,0,13:03:00
20060101061931,2006,42,1,25,60,2,1,50101,495,60,8:15:00
20060101061931,2006,42,1,25,60,2,1,50101,3,0,16:47:00
20060101061931,2006,42,1,25,60,2,1,50101,100,0,19:00:00
20060101061968,2006,42,1,55,0,2,2,50101,120,0,7:20:00
20060101061968,2006,42,1,55,0,2,2,50101,120,0,9:35:00
20060101061968,2006,42,1,55,0,2,2,50101,120,0,12:05:00
20060101061968,2006,42,1,55,0,2,2,50101,105,0,14:15:00
20060101061988,2006,42,1,50,0,2,2,50101,135,0,8:45:00
20060101061988,2006,42,1,50,0,2,2,50101,110,0,11:10:00
20060101061988,2006,42,1,50,0,2,2,50101,130,0,13:20:00
20060101061999,2006,42,1,75,0,2,2,50101,295,0,6:35:00
20060101061999,2006,42,1,75,0,2,2,50101,180,0,12:00:00
20060101062025,2006,45,1,40,15,1,1,50101,10,0,4:00:00
20060101062025,2006,45,1,40,15,1,1,50101,140,0,4:20:00
20060101062025,2006,45,1,40,15,1,1,50101,210,0,19:00:00
20060101062025,2006,45,1,40,15,1,1,50101,135,0,22:45:00
20060101062025,2006,45,1,40,15,1,1,50101,140,0,1:40:00
20060101062027,2006,45,1,60,5,2,1,50101,61,0,7:59:00
20060101062027,2006,45,1,60,5,2,1,50101,379,0,10:41:00
20060101062036,2006,45,1,85,0,2,2,50101,120,0,7:25:00
20060101062036,2006,45,1,85,0,2,2,50101,120,0,9:40:00
20060101062036,2006,45,1,85,0,2,2,50101,60,0,11:55:00
20060101062036,2006,45,1,85,0,2,2,50101,30,0,13:25:00
20060101062118,2006,48,1,40,10,1,1,50101,250,0,15:50:00
20060101062140,2006,48,1,35,0,2,2,50101,315,0,7:15:00
20060101062140,2006,48,1,35,0,2,2,50101,15,0,12:40:00
20060101062140,2006,48,1,35,0,2,2,50101,240,0,13:45:00
20060101062165,2006,48,1,145,8,1,1,50101,205,3,7:35:00
20060101062165,2006,48,1,145,8,1,1,50101,280,5,12:00:00
20060101062180,2006,48,1,30,30,1,1,50101,241,0,7:59:00
20060101062180,2006,48,1,30,30,1,1,50101,240,0,13:00:00
20060101062213,2006,48,1,20,20,1,1,50101,645,20,7:45:00
20060101062222,2006,48,1,15,0,2,2,50101,160,0,6:20:00
20060101062222,2006,48,1,15,0,2,2,50101,170,0,9:10:00
20060101062222,2006,48,1,15,0,2,2,50101,170,0,12:10:00
20060101062222,2006,48,1,15,0,2,2,50101,230,0,15:10:00
20060101062225,2006,48,1,20,35,1,1,50101,15,0,13:05:00
20060101062231,2006,49,1,90,0,2,2,50102,180,0,8:50:00
20060101062231,2006,49,1,90,0,2,2,50102,15,0,12:15:00
20060101062231,2006,49,1,90,0,2,2,50101,30,0,12:35:00
20060101062239,2006,49,1,163,0,2,2,50101,220,0,4:00:00
20060101062244,2006,49,1,35,3,2,1,60101,325,0,7:50:00
20060101062277,2006,51,1,45,0,2,2,50101,210,0,6:05:00
20060101062277,2006,51,1,45,0,2,2,50101,85,0,11:05:00
20060101062277,2006,51,1,45,0,2,2,50101,145,0,14:05:00
20060101062277,2006,51,1,45,0,2,2,50102,290,0,16:40:00
20060101062285,2006,51,1,90,0,2,2,50101,123,0,5:57:00
20060101062285,2006,51,1,90,0,2,2,50101,105,0,8:15:00
20060101062285,2006,51,1,90,0,2,2,50101,135,0,10:15:00
20060101062285,2006,51,1,90,0,2,2,50101,90,0,13:00:00
20060101062323,2006,53,1,80,0,2,2,50101,75,0,13:25:00
20060101062323,2006,53,1,80,0,2,2,50101,30,0,21:00:00
20060101062344,2006,54,1,40,10,2,1,50101,20,0,9:35:00
20060101062356,2006,55,1,30,25,1,1,50101,45,0,16:30:00
20060101062356,2006,55,1,30,25,1,1,50101,536,15,18:02:00
20060101062497,2006,29,1,80,10,1,1,50101,106,0,12:14:00
20060101062497,2006,29,1,80,10,1,1,50101,270,0,15:00:00
20060101062547,2006,51,1,60,5,2,1,50101,10,0,20:00:00
20060101062552,2006,51,1,75,2,2,1,50101,186,0,7:24:00
20060101062552,2006,51,1,75,2,2,1,50101,155,0,10:40:00
20060101062552,2006,51,1,75,2,2,1,50101,135,0,13:45:00
20060101062568,2006,55,1,60,15,2,1,50101,120,0,13:45:00
