TUCASEID,t110101
20160112152201,120
20160112152202,90
20160112152204,130
20160112152207,60
20160112152209,10
20160112152210,75
20160112152227,90
20160112152229,30
20160112152231,60
20160112152233,105
20160112152237,60
20160112152239,40
20160112152245,45
20160112152246,0
20160112152251,75
20160112152252,40
20160112152254,15
20160112152256,20
20160112152258,25
20160112152262,110
20160112152264,150
20160112152265,210
20160112152266,15
20160112152269,90
20160112152271,50
20160112152273,80
20160112152274,80
20160112152275,35
20160112152277,120
20160112152286,60
20160112152287,165
20160112152288,30
20160112152290,35
20160112152292,40
20160112152293,80
20160112152295,60
20160112152301,30
20160112152302,30
20160112152305,0
20160112152306,45
20160112152307,15
20160112152313,20
20160112152318,40
20160112152319,25
20160112152320,90
20160112152323,15
20160112152324,0
20160112152326,20
20160112152327,60
20160112152331,35
20160112152333,90
20160112152335,105
20160112152336,180
20160112152339,35
20160112152341,95
20160112152343,65
20160112152348,60
20160112152349,65
20160112152351,25
20160112152352,60
20160112152353,40
20160112152355,55
20160112152356,90
20160112152361,15
20160112152363,30
20160112152366,90
20160112152367,95
20160112152376,100
20160112152377,75
20160112152380,5
20160112152381,85
20160112152384,120
20160112152387,45
20160112152391,50
20160112152393,140
20160112152395,65
20160112152397,120
20160112152398,30
20160112152400,75
20160112152410,30
20160112152423,60
20160112152426,90
20160112152427,15
20160112152428,90
20160112152429,85
20160112152435,25
20160112152439,0
20160112152440,45
20160112152442,170
20160112152444,59
20160112152445,105
20160112152446,80
20160112152448,120
20160112152453,100
20160112152454,25
20160112152459,65
20160112152465,20
20160112152470,60
20160112152475,140
20160112152476,150
20160112152479,135
20160112152483,90
20160112152485,120
20160112152487,90
20160112152493,0
20160112152500,60
20160112152501,60
20160112152507,75
20160112152513,30
20160112152515,120
20160112152516,5
20160112152520,20
20160201160003,25
20160201160007,63
20160201160008,125
20160201160010,60
20160201160033,20
20160201160036,60
20160201160047,45
20160201160049,100
20160201160056,90
20160201160059,25
20160201160060,30
20160201160063,60
20160201160067,30
20160201160086,60
20160201160087,90
20160201160088,77
20160201160089,15
20160201160093,80
20160201160096,40
20160201160106,60
20160201160110,0
20160201160112,10
20160201160121,85
20160201160123,70
20160201160132,60
20160201160142,150
20160201160145,45
20160201160147,0
20160201160152,40
20160201160505,60
20160201160508,87
20160201160509,105
20160201160511,152
20160201160512,0
20160201160513,15
20160201160515,60
20160201160517,90
20160201160518,181
20160201160519,275
20160201160521,45
20160201160524,30
20160201160525,100
20160201160526,80
20160201160529,20
20160201160530,30
20160201160535,80
20160201160540,30
20160201160543,110
20160201160544,70
20160201160545,60
20160201160547,125
20160201160548,81
20160201160551,60
20160201160552,45
20160201160557,180
20160201160562,120
20160201160563,20
20160201160565,20
20160201160566,75
20160201160567,120
20160201160568,5
20160201160570,160
20160201160572,60
20160201160580,95
20160201160584,20
20160201160587,40
20160201160589,90
20160201160596,90
20160201160601,175
20160201160605,70
20160201160606,25
20160201160608,75
20160201160614,20
20160201160617,0
20160201160626,75
20160201160627,30
20160201160629,60
20160201160633,30
20160201160634,30
20160201160643,74
20160201160655,150
20160201160661,105
20160201160665,60
20160201160666,30
20160201160668,10
20160201160677,75
20160201160679,60
20160201160684,105
20160201160687,60
20160201160689,0
20160201160691,75
20160201160695,55
20160201160698,135
20160201160699,20
20160201160704,0
20160201160710,105
20160201160711,30
20160201160712,15
20160201160714,30
20160201160715,150
20160201160717,150
20160201160719,45
20160201160721,30
20160201160722,30
20160201160723,0
20160201160725,55
20160201160726,60
20160201160731,130
20160201160733,60
20160201160740,120
20160201160741,105
20160201160742,90
20160201160743,20
20160201160745,10
20160201160750,150
20160201160755,40
20160201160764,75
20160201160766,15
20160201160767,10
20160201160768,50
20160201160771,239
20160201160774,60
20160201160777,150
20160201160781,0
20160201160784,60
20160201160786,35
20160201160787,40
20160201160788,45
20160201160791,65
20160201160792,40
20160201160796,15
20160201160806,80
20160201160807,75
20160201160814,20
20160201160824,50
20160201160827,0
20160201160830,120
20160201160832,45
20160201160840,40
20160201160845,50
20160201160850,45
20160201160865,15
20160201160870,70
20160201160871,110
20160201160872,30
20160201160882,75
20160201160885,80
20160201160889,105
20160201160890,45
20160201160891,85
20160201160895,45
20160201160902,60
20160201160904,105
20160201160906,50
20160201160908,10
20160201160913,35
20160201160922,90
20160201160923,30
20160201160924,120
20160201160928,30
20160201160929,80
20160201160937,60
20160201160945,78
20160201160954,13
20160201160959,0
20160201160975,115
20160201160980,80
20160201160988,35
20160201160991,10
20160201160994,75
20160201160996,30
20160201160997,80
20160201160999,30
20160201161002,75
20160201161003,80
20160201161008,65
20160201161020,60
20160201161022,55
20160201161024,75
20160201161026,90
20160201161030,67
20160201161032,30
20160201161033,60
20160201161034,90
20160201161037,120
20160201161038,65
20160201161041,85
20160201161042,120
20160201161043,269
20160201161045,70
20160201161047,30
20160201161048,20
20160201161049,60
20160201161050,25
20160201161055,60
20160201161057,15
20160201161058,70
20160201161064,110
20160201161065,50
20160201161067,0
20160201161071,90
20160201161072,30
20160201161073,140
20160201161081,120
20160201161083,20
20160201161084,35
20160201161085,15
20160201161089,60
20160201161093,10
20160201161096,45
20160201161097,130
20160201161098,30
20160201161101,235
20160201161102,90
20160201161108,15
20160201161111,30
20160201161114,60
20160201161118,25
20160201161123,105
20160201161125,120
20160201161133,20
20160201161139,45
20160201161143,30
20160201161145,30
20160201161148,60
20160201161150,60
20160201161153,30
20160201161154,90
20160201161155,105
20160201161170,30
20160201161172,85
20160201161173,0
20160201161181,30
20160201161182,65
20160201161185,30
20160201161191,105
20160201161193,0
20160201161198,10
20160201161199,90
20160201161201,30
20160201161204,90
20160201161206,90
20160201161207,135
20160201161212,180
20160201161214,45
20160201161217,60
20160201161218,180
20160201161219,60
20160201161224,30
20160201161228,45
20160201161229,60
20160201161233,35
20160201161234,60
20160201161235,215
20160201161236,50
20160201161241,15
20160201161243,40
