CASEID,YEAR,STATEFIP,PED,SED_EAT,ANYSECEAT,ACTIVITY,DURATION,START
20060605061218,2006,20,45,5,1,50101,125,9:10:00
20060605061218,2006,20,45,5,1,50101,105,11:45:00
20060605061218,2006,20,45,5,1,50101,80,13:40:00
20060605061227,2006,20,45,20,1,50101,260,5:40:00
20060605061227,2006,20,45,20,1,50101,220,10:20:00
20060605061227,2006,20,45,20,1,50101,225,14:30:00
20060605061228,2006,20,50,0,2,50101,105,4:00:00
20060605061228,2006,20,50,0,2,50101,135,15:30:00
20060605061228,2006,20,50,0,2,50101,35,3:25:00
20060605061229,2006,20,70,15,1,50101,120,7:22:00
20060605061229,2006,20,70,15,1,50101,173,9:37:00
20060605061229,2006,20,70,15,1,50101,60,13:00:00
20060605061229,2006,20,70,15,1,50101,105,14:15:00
20060605061238,2006,21,15,30,1,50101,510,8:15:00
20060605061249,2006,21,47,0,2,50101,125,8:55:00
20060605061249,2006,21,47,0,2,50101,3,11:07:00
20060605061249,2006,21,47,0,2,50101,120,11:10:00
20060605061249,2006,21,47,0,2,50101,110,13:40:00
20060605061249,2006,21,47,0,2,50101,110,15:40:00
20060605061249,2006,21,47,0,2,50101,80,17:40:00
20060605061250,2006,21,30,20,1,50101,130,11:20:00
20060605061250,2006,21,30,20,1,50101,255,14:00:00
20060605061255,2006,21,60,50,1,50101,90,6:30:00
20060605061256,2006,21,45,0,2,50101,180,8:45:00
20060605061256,2006,21,45,0,2,50101,275,12:40:00
20060605061262,2006,22,15,0,2,50101,230,9:10:00
20060605061262,2006,22,15,0,2,50101,218,13:22:00
20060605061262,2006,22,15,0,2,50101,195,17:15:00
20060605061265,2006,22,123,10,1,50101,200,9:40:00
20060605061265,2006,22,123,10,1,50101,240,14:00:00
20060605061270,2006,22,75,0,2,50101,235,8:05:00
20060605061270,2006,22,75,0,2,50101,270,12:30:00
20060605061283,2006,22,110,5,1,50101,120,7:08:00
20060605061283,2006,22,110,5,1,50101,162,9:18:00
20060605061283,2006,22,110,5,1,50101,114,13:06:00
20060605061283,2006,22,110,5,1,50101,85,15:05:00
20060605061308,2006,24,60,20,1,50101,415,6:05:00
20060605061308,2006,24,60,20,1,50101,90,13:30:00
20060605061314,2006,25,81,5,1,50101,90,11:00:00
20060605061314,2006,25,81,5,1,50101,105,15:15:00
20060605061314,2006,25,81,5,1,50101,30,17:50:00
20060605061330,2006,25,70,0,2,50101,235,7:35:00
20060605061330,2006,25,70,0,2,50101,240,12:00:00
20060605061331,2006,25,10,15,1,50101,185,8:55:00
20060605061331,2006,25,10,15,1,50101,136,12:14:00
20060605061346,2006,25,90,0,2,50101,235,13:05:00
20060605061346,2006,25,90,0,2,50101,110,17:10:00
20060605061346,2006,25,90,0,2,50101,90,19:30:00
20060605061346,2006,25,90,0,2,50101,110,21:10:00
20060605061357,2006,26,30,140,1,50101,270,11:50:00
20060605061357,2006,26,30,140,1,50101,45,17:13:00
20060605061358,2006,26,35,0,2,50101,20,6:40:00
20060605061358,2006,26,35,0,2,50101,570,7:00:00
20060605061365,2006,26,60,0,2,50101,240,8:00:00
20060605061365,2006,26,60,0,2,50101,90,12:30:00
20060605061365,2006,26,60,0,2,50101,135,14:15:00
20060605061387,2006,26,50,20,1,60103,10,8:50:00
20060605061387,2006,26,50,20,1,60102,120,9:00:00
20060605061395,2006,26,40,10,1,50101,245,7:55:00
