CASEID,YEAR,FIPS,SED_EAT_TOTAL,SED_WORKING_TOTAL,PRIME_EAT
20060112050827,2006,6,40,10,120
20060112050829,2006,6,0,0,400
20060112050831,2006,6,10,10,30
20060112050864,2006,8,0,0,100
20060112050878,2006,9,14,0,140
20060112050885,2006,9,28,14,70
20060112050908,2006,12,0,0,270
20060112050925,2006,12,0,0,495
20060112050927,2006,12,180,0,360
20060112050934,2006,12,0,0,20
20060112050938,2006,12,30,0,20
20060112050939,2006,12,30,0,110
20060112050943,2006,12,0,0,60
20060112050964,2006,12,5,5,15
20060112050967,2006,12,0,0,90
20060112050977,2006,12,0,0,150
20060112050983,2006,12,90,15,120
20060112050992,2006,12,0,0,560
20060112050995,2006,12,0,0,300
20060112051006,2006,12,30,0,65
20060112051009,2006,13,40,5,180
20060112051023,2006,13,260,5,60
20060112051025,2006,13,0,0,360
20060112051027,2006,13,10,0,80
20060112051045,2006,13,0,0,90
20060112051061,2006,13,45,0,270
20060112051066,2006,15,5,0,80
20060112051070,2006,15,7,7,25
20060112051075,2006,16,0,0,105
20060112051079,2006,16,0,0,220
20060112051082,2006,16,0,0,20
20060112051083,2006,16,4,0,90
20060112051098,2006,17,10,5,130
20060112051119,2006,17,390,195,150
20060112051120,2006,17,10,5,130
20060112051125,2006,17,60,15,135
20060112051128,2006,17,10,0,180
20060112051145,2006,17,0,0,130
20060112051148,2006,17,10,0,150
20060112051159,2006,17,80,15,80
20060112051161,2006,17,0,0,120
20060112051167,2006,18,20,0,240
20060112051178,2006,18,0,0,80
20060112051180,2006,18,20,10,70
20060112051187,2006,18,30,0,60
20060112051196,2006,18,150,0,360
20060112051197,2006,18,60,15,45
20060112051202,2006,18,0,0,300
20060112051206,2006,18,40,20,180
20060112051210,2006,19,6,0,160
20060112051217,2006,19,40,20,220
20060112051220,2006,20,16,2,960
20060112051221,2006,20,0,0,20
20060112051228,2006,20,30,10,120
20060112051229,2006,20,0,0,120
20060112051236,2006,21,12,0,120
20060112051256,2006,22,0,0,180
20060112051266,2006,22,10,5,190
20060112051285,2006,24,30,20,30
